# LR rup_force class
1.160272906191777406e-09 1.627204231743772728e-10 3.000000000000000000e+00
1.134821672704191573e-09 1.600791682197261728e-10 3.000000000000000000e+00
3.956729657516826114e-09 4.797364608153455072e-10 1.000000000000000000e+00
1.024584761422283813e-09 1.689111315243780712e-10 2.000000000000000000e+00
1.055763803694952159e-09 1.520721133486324813e-10 3.000000000000000000e+00
3.770435525039025016e-09 4.540238698770812430e-10 1.000000000000000000e+00
9.712814102416604591e-10 1.624930015566931142e-10 2.000000000000000000e+00
6.594046367917070041e-10 1.236446436363679046e-10 2.000000000000000000e+00
4.037424339923651023e-09 4.912305382975012007e-10 1.000000000000000000e+00
8.417513335549160544e-10 1.466736229544152915e-10 2.000000000000000000e+00
1.252280792801907592e-09 1.722257074625087009e-10 3.000000000000000000e+00
4.140143468588351025e-09 5.061970361981291330e-10 1.000000000000000000e+00
1.028771300942917404e-09 1.492335096715863505e-10 3.000000000000000000e+00
8.119527718011236494e-10 1.429799468886667971e-10 2.000000000000000000e+00
1.110062348108275488e-09 1.575038818446607840e-10 3.000000000000000000e+00
1.091829221819710475e-09 1.769481620872399789e-10 2.000000000000000000e+00
8.768480172482466865e-10 1.509956993031984014e-10 2.000000000000000000e+00
7.366839137382204003e-10 1.335377086559498380e-10 2.000000000000000000e+00
1.424286571139819804e-09 1.898727069969723685e-10 3.000000000000000000e+00
4.042511663670038130e-09 4.919627880152506840e-10 1.000000000000000000e+00
4.093667148696972894e-09 4.993775004899038342e-10 1.000000000000000000e+00
4.047604131059098849e-09 4.926966991559633564e-10 1.000000000000000000e+00
1.092053166728895475e-09 1.769748249227409663e-10 2.000000000000000000e+00
6.937308986746457479e-10 1.280666419002745532e-10 2.000000000000000000e+00
1.148116529645495424e-09 1.833702504020118308e-10 2.000000000000000000e+00
3.887213603509331709e-09 4.700113946978042698e-10 1.000000000000000000e+00
4.260770149515868152e-09 5.242821138483818684e-10 1.000000000000000000e+00
4.150527339253077700e-09 5.077317158794709922e-10 1.000000000000000000e+00
4.093667148696972894e-09 4.993775004899038342e-10 1.000000000000000000e+00
4.400270335515552816e-09 5.459347790808691524e-10 1.000000000000000000e+00
9.592622557810839768e-10 1.610391719231965974e-10 2.000000000000000000e+00
3.971758870799025530e-09 4.818602249533998476e-10 1.000000000000000000e+00
1.026608702184931448e-09 1.691539071099616865e-10 2.000000000000000000e+00
1.102497323866635013e-09 1.779672531108049963e-10 2.000000000000000000e+00
3.838187608944555859e-09 4.632473845686157583e-10 1.000000000000000000e+00
1.172115324470880107e-09 1.862044324777284822e-10 2.000000000000000000e+00
5.510427639644377061e-10 1.093357679061262906e-10 2.000000000000000000e+00
7.231005034830727561e-10 1.318145671354943441e-10 2.000000000000000000e+00
1.143158950203020611e-09 1.827842012556308912e-10 2.000000000000000000e+00
4.007008624036994446e-09 4.868716503229731909e-10 1.000000000000000000e+00
8.442359907418620983e-10 1.469805230282223596e-10 2.000000000000000000e+00
1.051189605567263470e-09 1.720982206331857035e-10 2.000000000000000000e+00
4.083395094544570433e-09 4.978810222993204996e-10 1.000000000000000000e+00
1.263689546979488645e-09 1.734003554649946134e-10 3.000000000000000000e+00
6.517303986331943689e-10 1.226494266635253090e-10 2.000000000000000000e+00
9.061271264292680783e-10 1.362038052081032599e-10 3.000000000000000000e+00
4.202749013852608306e-09 5.155122704740109812e-10 1.000000000000000000e+00
8.513050774568059439e-10 1.478531224359978450e-10 2.000000000000000000e+00
3.741715773523733736e-09 4.501562951636536644e-10 1.000000000000000000e+00
4.124605637826896342e-09 5.039082064606593450e-10 1.000000000000000000e+00
4.244886624298182714e-09 5.218679810917914257e-10 1.000000000000000000e+00
9.367789553385872999e-10 1.583126720349446958e-10 2.000000000000000000e+00
4.171355666104468491e-09 5.108223743101355383e-10 1.000000000000000000e+00
1.144917934516437054e-09 1.611276282300373428e-10 3.000000000000000000e+00
3.760841119816775397e-09 4.527290755558964548e-10 1.000000000000000000e+00
4.062912356266494406e-09 4.949084515566013210e-10 1.000000000000000000e+00
4.068025359160820380e-09 4.956490589256580167e-10 1.000000000000000000e+00
3.906970843726713173e-09 4.727591532247985323e-10 1.000000000000000000e+00
3.605593082030764205e-09 4.321518501486428796e-10 1.000000000000000000e+00
8.095255056041717160e-10 1.426780933445678709e-10 2.000000000000000000e+00
1.207898565182125787e-09 1.676482777018114303e-10 3.000000000000000000e+00
4.160931418290460183e-09 5.092734806776202915e-10 1.000000000000000000e+00
1.106920703329512554e-09 1.784921640290875261e-10 2.000000000000000000e+00
8.934142627997326517e-10 1.530257965759420696e-10 2.000000000000000000e+00
1.213338739676321581e-09 1.682100754619539844e-10 3.000000000000000000e+00
3.951730319494871550e-09 4.790317030871253893e-10 1.000000000000000000e+00
3.902023682492701733e-09 4.720699263070105923e-10 1.000000000000000000e+00
8.590212927122030693e-10 1.488040521254288914e-10 2.000000000000000000e+00
8.377902559344951557e-10 1.461839023676764023e-10 2.000000000000000000e+00
4.062912356266494406e-09 4.949084515566013210e-10 1.000000000000000000e+00
4.202749013852608306e-09 5.155122704740109812e-10 1.000000000000000000e+00
1.074253492362590498e-09 1.540114337042833257e-10 3.000000000000000000e+00
4.052701738236542928e-09 4.934322767541606926e-10 1.000000000000000000e+00
1.080411385058877332e-09 1.755877585489260980e-10 2.000000000000000000e+00
8.843483164133409489e-10 1.519155857775210390e-10 2.000000000000000000e+00
4.218513266345803532e-09 5.178818042475925349e-10 1.000000000000000000e+00
9.534160284983326948e-10 1.603310776506793194e-10 2.000000000000000000e+00
4.037424339923651023e-09 4.912305382975012007e-10 1.000000000000000000e+00
4.001957409787951778e-09 4.861508911844139206e-10 1.000000000000000000e+00
1.378706775866301183e-09 1.852069668748593734e-10 3.000000000000000000e+00
1.056814923482610901e-09 1.727708909827555773e-10 2.000000000000000000e+00
9.800050926607234854e-10 1.635465620638933815e-10 2.000000000000000000e+00
3.698993472767725043e-09 4.444483052484653051e-10 1.000000000000000000e+00
4.119436506535588467e-09 5.031487589855966948e-10 1.000000000000000000e+00
4.057804481291712722e-09 4.941695258634481543e-10 1.000000000000000000e+00
8.189608088429565329e-10 1.438506992185180303e-10 2.000000000000000000e+00
1.093150464778295534e-09 1.559894603212091155e-10 3.000000000000000000e+00
1.093169437793160137e-09 1.771077188743787473e-10 2.000000000000000000e+00
4.012065007584797720e-09 4.875940361700037072e-10 1.000000000000000000e+00
1.053690849699504071e-09 1.723972914247414641e-10 2.000000000000000000e+00
1.108640417630327535e-09 1.786959882104001079e-10 2.000000000000000000e+00
4.088528568044991899e-09 4.986284076805889885e-10 1.000000000000000000e+00
4.042511663670038130e-09 4.919627880152506840e-10 1.000000000000000000e+00
1.133999902553743933e-09 1.817007467298767796e-10 2.000000000000000000e+00
1.229842205486190671e-09 1.699130986974871738e-10 3.000000000000000000e+00
1.240998864272409623e-09 1.710633457100188157e-10 3.000000000000000000e+00
1.072869512001173578e-09 1.746882108390440439e-10 2.000000000000000000e+00
4.145332875436407960e-09 5.069634931184400046e-10 1.000000000000000000e+00
1.085584465680326301e-09 1.762042326265221151e-10 2.000000000000000000e+00
3.926811761513467128e-09 4.755314304801039735e-10 1.000000000000000000e+00
1.129815139047466157e-09 1.595589048552984495e-10 3.000000000000000000e+00
3.460569209361542888e-09 4.135284405269526661e-10 1.000000000000000000e+00
1.181749052581614443e-09 1.873404231140921055e-10 2.000000000000000000e+00
8.594651230345598531e-10 1.488586973151386051e-10 2.000000000000000000e+00
1.004084744107254833e-09 1.664481029973902723e-10 2.000000000000000000e+00
4.218513266345803532e-09 5.178818042475925349e-10 1.000000000000000000e+00
4.062912356266494406e-09 4.949084515566013210e-10 1.000000000000000000e+00
4.207998771442083154e-09 5.163002807267685087e-10 1.000000000000000000e+00
4.073143485919408741e-09 4.963913530819985468e-10 1.000000000000000000e+00
4.213253524111591882e-09 5.170901234210616807e-10 1.000000000000000000e+00
3.862634966148091555e-09 4.666107368085054753e-10 1.000000000000000000e+00
4.335478116375686955e-09 5.357756331188924172e-10 1.000000000000000000e+00
4.271383863979237142e-09 5.259009776817009490e-10 1.000000000000000000e+00
3.582574801567939303e-09 4.291586860319606806e-10 1.000000000000000000e+00
1.124836108906897215e-09 1.590412621211920595e-10 3.000000000000000000e+00
3.770435525039025016e-09 4.540238698770812430e-10 1.000000000000000000e+00
9.367574726465876131e-10 1.583100627775376694e-10 2.000000000000000000e+00
3.961734197456648562e-09 4.804427972175530276e-10 1.000000000000000000e+00
1.083759653255222973e-09 1.759868084850893915e-10 2.000000000000000000e+00
4.166141023601668301e-09 5.100470336440791680e-10 1.000000000000000000e+00
9.010092581068827957e-10 1.539545258736730391e-10 2.000000000000000000e+00
4.166141023601668301e-09 5.100470336440791680e-10 1.000000000000000000e+00
1.292776672427971770e-09 1.763918810106675195e-10 3.000000000000000000e+00
2.728934486855687089e-09 3.269531284367837159e-10 1.000000000000000000e+00
1.124836108906897215e-09 1.590412621211920595e-10 3.000000000000000000e+00
8.442359907418620983e-10 1.469805230282223596e-10 2.000000000000000000e+00
3.818724419989628463e-09 4.605831968091822327e-10 1.000000000000000000e+00
4.181800042293389625e-09 5.123784408322888890e-10 1.000000000000000000e+00
8.761055744584825132e-10 1.509045863286555446e-10 2.000000000000000000e+00
4.083395094544570433e-09 4.978810222993204996e-10 1.000000000000000000e+00
7.998427766792576619e-10 1.414720807315126663e-10 2.000000000000000000e+00
1.202488568323777312e-09 1.670893843622338881e-10 3.000000000000000000e+00
1.119884412610192684e-09 1.585262223576903429e-10 3.000000000000000000e+00
1.031570032424013406e-09 1.697489447241597325e-10 2.000000000000000000e+00
1.155126272863343439e-09 1.621867864579361863e-10 3.000000000000000000e+00
4.032342163648389963e-09 4.904999449871904619e-10 1.000000000000000000e+00
4.047604131059098849e-09 4.926966991559633564e-10 1.000000000000000000e+00
4.218513266345803532e-09 5.178818042475925349e-10 1.000000000000000000e+00
4.150527339253077700e-09 5.077317158794709922e-10 1.000000000000000000e+00
1.144917934516437054e-09 1.611276282300373428e-10 3.000000000000000000e+00
1.075583900681343215e-09 1.750119840257247289e-10 2.000000000000000000e+00
4.124605637826896342e-09 5.039082064606593450e-10 1.000000000000000000e+00
9.168965565831499345e-10 1.558934615430786766e-10 2.000000000000000000e+00
1.322691460249731617e-09 1.794641089850269519e-10 3.000000000000000000e+00
3.546021685807810196e-09 4.244349013358521375e-10 1.000000000000000000e+00
1.385108168359208366e-09 1.858625759797572158e-10 3.000000000000000000e+00
8.300297198376318600e-10 1.452234194011801994e-10 2.000000000000000000e+00
