# LR rup_force
3.767036103438582205e-09 4.540238698770812430e-10
2.959433648643204500e-09 3.536174919932364438e-10
3.878621989933986816e-09 4.693282522086784579e-10
3.795878660611810650e-09 4.579422621252362800e-10
3.028715380250622859e-09 3.617174910313538142e-10
3.444547681200188265e-09 4.118454684730729410e-10
4.346674012386381450e-09 5.382883262102496012e-10
3.997992212580165223e-09 4.861508911844139206e-10
3.250849174769898561e-09 3.878046396435632060e-10
3.757463888249289737e-09 4.527290755558964548e-10
3.982908394806222846e-09 4.839983252618897941e-10
3.616406374511639192e-09 4.339630411079323980e-10
4.198243748836514765e-09 5.155122704740109812e-10
3.466725632539661878e-09 4.146562532098956535e-10
3.529524840342405294e-09 4.226838864670747856e-10
3.888455569947868540e-09 4.706960515520639230e-10
4.094591059134126969e-09 5.001283059367096717e-10
4.427739349506624457e-09 5.511244661973240760e-10
4.074101869943495789e-09 4.971353391564413406e-10
4.156542572481741883e-09 5.092734806776202915e-10
3.639586577802757148e-09 4.370074952164931543e-10
3.497996050151912650e-09 4.186407450064140862e-10
3.967870844843173804e-09 4.818602249533998476e-10
3.873713002895075048e-09 4.686466196176138082e-10
2.711983800962829494e-09 3.253895972929916578e-10
3.139716262822993596e-09 3.748926565080584865e-10
4.104865993187940676e-09 5.016350756800868254e-10
3.893380157885864432e-09 4.713822272550625422e-10
2.982348549753756291e-09 3.562864348544056739e-10
3.067904689559396591e-09 3.663405756074100208e-10
4.245536304900015974e-09 5.226708114618234657e-10
3.547657359621360510e-09 4.250210300158472131e-10
3.791058461261206521e-09 4.572856300103333496e-10
4.224468128206385541e-09 5.194707031708249093e-10
4.003030417327708441e-09 4.868716503229731909e-10
3.365795727903794360e-09 4.019634636195841439e-10
3.714649015236854116e-09 4.469715027513285736e-10
3.480095615872759521e-09 4.163567840786288959e-10
3.724126623301107301e-09 4.482412899467117352e-10
3.893380157885864432e-09 4.713822272550625422e-10
3.952879653498222492e-09 4.797364608153455072e-10
3.440127886430561904e-09 4.112867974398635415e-10
3.863910646995653079e-09 4.672878663435970668e-10
4.213963562808014652e-09 5.178818042475925349e-10
3.621031862905189698e-09 4.345693419080651561e-10
4.074101869943495789e-09 4.971353391564413406e-10
4.074101869943495789e-09 4.971353391564413406e-10
4.187788628081079913e-09 5.139417246402020941e-10
3.903244916678358077e-09 4.727591532247985323e-10
3.083721235071142080e-09 3.682151123002939806e-10
3.709918104540662141e-09 4.463386621572522010e-10
3.791058461261206521e-09 4.572856300103333496e-10
3.997992212580165223e-09 4.861508911844139206e-10
3.658225690248658891e-09 4.394665464542898076e-10
3.374461924862007809e-09 4.030435087223426762e-10
4.115161105147420899e-09 5.031487589855966948e-10
3.957871560873455602e-09 4.804427972175530276e-10
4.104865993187940676e-09 5.016350756800868254e-10
3.987931197778854071e-09 4.847142335113491283e-10
4.084336339463461924e-09 4.986284076805889885e-10
3.695756958172464138e-09 4.444483052484653051e-10
3.863910646995653079e-09 4.672878663435970668e-10
3.607171228449547511e-09 4.327542988694921590e-10
2.362879611642901188e-09 2.871496422542543033e-10
4.094591059134126969e-09 5.001283059367096717e-10
4.234992391268795560e-09 5.210670234661148637e-10
3.997992212580165223e-09 4.861508911844139206e-10
4.043520306989176356e-09 4.926966991559633564e-10
3.913130434975314950e-09 4.741422088092992540e-10
2.990026541798079882e-09 3.571829249870276396e-10
4.120316216180575629e-09 5.039082064606593450e-10
4.219213380389473146e-09 5.186753289191726127e-10
3.937934907724224324e-09 4.776269048487776318e-10
3.767036103438582205e-09 4.540238698770812430e-10
3.602561571343148768e-09 4.321518501486428796e-10
3.932963661539128556e-09 4.769268549804201971e-10
3.383149102905591810e-09 4.041279853788689845e-10
3.681643210546754542e-09 4.425701138175371443e-10
4.018175777623164435e-09 4.890437076212706973e-10
3.932963661539128556e-09 4.769268549804201971e-10
3.810370683404328063e-09 4.599207937800079358e-10
3.621031862905189698e-09 4.345693419080651561e-10
4.208718681242551666e-09 5.170901234210616807e-10
4.187788628081079913e-09 5.139417246402020941e-10
4.074101869943495789e-09 4.971353391564413406e-10
3.471177024351933235e-09 4.152219186596602767e-10
4.277285464459039372e-09 5.275274503866025576e-10
3.453403063547005546e-09 4.129662868064527700e-10
4.094591059134126969e-09 5.001283059367096717e-10
3.738382484941580240e-09 4.501562951636536644e-10
3.695756958172464138e-09 4.444483052484653051e-10
3.992959138219747808e-09 4.854317538694055154e-10
3.913130434975314950e-09 4.741422088092992540e-10
3.520490239418360449e-09 4.215226515380843174e-10
3.786243502310675922e-09 4.566304301316437333e-10
3.409336630624710184e-09 4.074082485772175029e-10
4.018175777623164435e-09 4.890437076212706973e-10
3.418107837831526370e-09 4.085106961949145723e-10
4.213963562808014652e-09 5.178818042475925349e-10
3.781433785418671312e-09 4.559766583227350448e-10
3.952879653498222492e-09 4.797364608153455072e-10
4.058788210696686553e-09 4.949084515566013210e-10
3.987931197778854071e-09 4.847142335113491283e-10
4.058788210696686553e-09 4.949084515566013210e-10
3.987931197778854071e-09 4.847142335113491283e-10
3.691047107899944490e-09 4.438208948908000406e-10
3.662898651568958364e-09 4.400846025879830898e-10
3.480095615872759521e-09 4.163567840786288959e-10
3.597957191761565430e-09 4.315506781931319024e-10
3.962868625718829426e-09 4.811507170166962344e-10
4.125476357620212156e-09 5.046693982506415179e-10
3.927997588245982431e-09 4.762283650694445777e-10
